Mode,L1 Size,L2 Size,Block Size,Associativity,Policy,L1 Hits,L1 Misses,L2 Hits,L2 Misses,Memory Accesses,Total Accesses,L1 Hit Rate (%),L2 Hit Rate (%),Total Cycles
Single,1024,-,32,2,LRU,5136649,680845,-,-,680845,5817494,88.3,-,39178899
Multi,1024,4096,32,2,LRU,4592409,1225085,881687,343398,343398,5817494,78.94,71.97,26170744
Single,1024,-,32,2,Random,4985410,832084,-,-,832084,5817494,85.7,-,46589610
Multi,1024,4096,32,2,Random,4912630,904864,531135,373729,373729,5817494,84.45,58.7,26254755
Single,1024,-,32,2,FIFO,5026484,791010,-,-,791010,5817494,86.4,-,44576984
Multi,1024,4096,32,2,FIFO,4592409,1225085,823496,401589,401589,5817494,78.94,67.22,28789339
Single,1024,-,32,4,LRU,5139255,678239,-,-,678239,5817494,88.34,-,39051205
Multi,1024,4096,32,4,LRU,5108898,708596,360237,348359,348359,5817494,87.82,50.84,24328033
Single,1024,-,32,4,Random,4983240,834254,-,-,834254,5817494,85.66,-,46695940
Multi,1024,4096,32,4,Random,4922199,895295,526997,368298,368298,5817494,84.61,58.86,25972084
Single,1024,-,32,4,FIFO,5008876,808618,-,-,808618,5817494,86.1,-,45439776
Multi,1024,4096,32,4,FIFO,4698894,1118600,727871,390729,390729,5817494,80.77,65.07,27874699
Single,1024,-,64,1,LRU,4918500,898994,-,-,898994,5817494,84.55,-,49868200
Multi,1024,4096,64,1,LRU,4918500,898994,347089,551905,551905,5817494,84.55,38.61,34249195
Single,1024,-,64,1,Random,4918500,898994,-,-,898994,5817494,84.55,-,49868200
Multi,1024,4096,64,1,Random,4918500,898994,644615,254379,254379,5817494,84.55,71.7,20860525
Single,1024,-,64,1,FIFO,4918500,898994,-,-,898994,5817494,84.55,-,49868200
Multi,1024,4096,64,1,FIFO,4918500,898994,347089,551905,551905,5817494,84.55,38.61,34249195
Single,1024,-,64,2,LRU,5404195,413299,-,-,413299,5817494,92.9,-,26069145
Multi,1024,4096,64,2,LRU,4569549,1247945,1063375,184570,184570,5817494,78.55,85.21,19114924
Single,1024,-,64,2,Random,5266320,551174,-,-,551174,5817494,90.53,-,32825020
Multi,1024,4096,64,2,Random,5173686,643808,432762,211046,211046,5817494,88.93,67.22,17889796
Single,1024,-,64,2,FIFO,5317068,500426,-,-,500426,5817494,91.4,-,30338368
Multi,1024,4096,64,2,FIFO,4569549,1247945,981240,266705,266705,5817494,78.55,78.63,22810999
Single,1024,-,64,4,LRU,5462059,355435,-,-,355435,5817494,93.89,-,23233809
Multi,1024,4096,64,4,LRU,5326020,491474,304790,186684,186684,5817494,91.55,62.02,16184170
Single,1024,-,64,4,Random,5300297,517197,-,-,517197,5817494,91.11,-,31160147
Multi,1024,4096,64,4,Random,5205444,612050,408133,203917,203917,5817494,89.48,66.68,17441959
Single,1024,-,64,4,FIFO,5340383,477111,-,-,477111,5817494,91.8,-,29195933
Multi,1024,4096,64,4,FIFO,4858872,958622,735674,222948,222948,5817494,83.52,76.74,19684642
Single,2048,-,16,1,LRU,4391505,1425989,-,-,1425989,5817494,75.49,-,75690955
Multi,2048,8192,16,1,LRU,4391505,1425989,714749,711240,711240,5817494,75.49,50.12,43527250
Single,2048,-,16,1,Random,4391505,1425989,-,-,1425989,5817494,75.49,-,75690955
Multi,2048,8192,16,1,Random,4391505,1425989,744579,681410,681410,5817494,75.49,52.21,42184900
Single,2048,-,16,1,FIFO,4391505,1425989,-,-,1425989,5817494,75.49,-,75690955
Multi,2048,8192,16,1,FIFO,4391505,1425989,714749,711240,711240,5817494,75.49,50.12,43527250
Single,2048,-,16,2,LRU,4509653,1307841,-,-,1307841,5817494,77.52,-,69901703
Multi,2048,8192,16,2,LRU,4263755,1553739,897277,656462,656462,5817494,73.29,57.75,41573240
Single,2048,-,16,2,Random,4418769,1398725,-,-,1398725,5817494,75.96,-,74355019
Multi,2048,8192,16,2,Random,4381547,1435947,760903,675044,675044,5817494,75.32,52.99,41938262
Single,2048,-,16,2,FIFO,4432775,1384719,-,-,1384719,5817494,76.2,-,73668725
Multi,2048,8192,16,2,FIFO,4263755,1553739,865882,687857,687857,5817494,73.29,55.73,42986015
Single,2048,-,16,4,LRU,4512792,1304702,-,-,1304702,5817494,77.57,-,69747892
Multi,2048,8192,16,4,LRU,4496904,1320590,661917,658673,658673,5817494,77.3,50.12,40740139
Single,2048,-,16,4,Random,4428327,1389167,-,-,1389167,5817494,76.12,-,73886677
Multi,2048,8192,16,4,Random,4400751,1416743,743971,672772,672772,5817494,75.65,52.51,41759206
Single,2048,-,16,4,FIFO,4435601,1381893,-,-,1381893,5817494,76.25,-,73530251
Multi,2048,8192,16,4,FIFO,4347525,1469969,783132,686837,686837,5817494,74.73,53.28,42605035
Single,2048,-,32,1,LRU,5014533,802961,-,-,802961,5817494,86.2,-,45162583
Multi,2048,8192,32,1,LRU,5014533,802961,396337,406624,406624,5817494,86.2,49.36,27327418
Single,2048,-,32,1,Random,5014533,802961,-,-,802961,5817494,86.2,-,45162583
Multi,2048,8192,32,1,Random,5014533,802961,439163,363798,363798,5817494,86.2,54.69,25400248
Single,2048,-,32,1,FIFO,5014533,802961,-,-,802961,5817494,86.2,-,45162583
Multi,2048,8192,32,1,FIFO,5014533,802961,396337,406624,406624,5817494,86.2,49.36,27327418
Single,2048,-,32,2,LRU,5151498,665996,-,-,665996,5817494,88.55,-,38451298
Multi,2048,8192,32,2,LRU,4869679,947815,611241,336574,336574,5817494,83.71,64.49,24754584
Single,2048,-,32,2,Random,5072032,745462,-,-,745462,5817494,87.19,-,42345132
Multi,2048,8192,32,2,Random,5034483,783011,431522,351489,351489,5817494,86.54,55.11,24766543
Single,2048,-,32,2,FIFO,5093416,724078,-,-,724078,5817494,87.55,-,41297316
Multi,2048,8192,32,2,FIFO,4869679,947815,580921,366894,366894,5817494,83.71,61.29,26118984
Single,2048,-,32,4,LRU,5153826,663668,-,-,663668,5817494,88.59,-,38337226
Multi,2048,8192,32,4,LRU,5140035,677459,340779,336680,336680,5817494,88.35,50.3,23677930
Single,2048,-,32,4,Random,5086243,731251,-,-,731251,5817494,87.43,-,41648793
Multi,2048,8192,32,4,Random,5064836,752658,404145,348513,348513,5817494,87.06,53.7,24511211
Single,2048,-,32,4,FIFO,5095418,722076,-,-,722076,5817494,87.59,-,41199218
Multi,2048,8192,32,4,FIFO,5026484,791010,430055,360955,360955,5817494,86.4,54.37,25224509
Single,2048,-,64,1,LRU,5096901,720593,-,-,720593,5817494,87.61,-,41126551
